Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
181;18300156711;"Advances in Cognitive Psychology";journal;"18951171";0,306;Q3;36;36;90;2466;99;87;0,87;68,50;Poland;Eastern Europe;"University of Finance and Management";"2007-2023";"Applied Psychology (Q3); Clinical Psychology (Q3); Psychiatry and Mental Health (Q3); Psychology (miscellaneous) (Q3); Experimental and Cognitive Psychology (Q4); Neuroscience (miscellaneous) (Q4)";"Medicine; Neuroscience; Psychology"
182;19700166619;"Journal of Neuroscience, Psychology, and Economics";journal;"1937321X, 2151318X";0,306;Q3;30;14;46;902;64;46;1,72;64,43;United States;Northern America;"American Psychological Association";"2008-2023";"Economics, Econometrics and Finance (miscellaneous) (Q2); Applied Psychology (Q3); Business, Management and Accounting (miscellaneous) (Q3); Neuropsychology and Physiological Psychology (Q3); Behavioral Neuroscience (Q4); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Neuroscience; Psychology"
183;19900192340;"Cuadernos de Psicologia del Deporte";journal;"15788423";0,304;Q3;25;62;171;3334;237;171;1,33;53,77;Spain;Western Europe;"University of Murcia";"2011-2023";"Applied Psychology (Q3)";"Psychology"
184;19700188266;"Humanistic Psychologist";journal;"15473333, 08873267";0,300;Q3;32;30;140;1471;113;135;0,64;49,03;United States;Northern America;"Routledge";"1985-2023";"Applied Psychology (Q3); Social Psychology (Q3)";"Psychology"
185;18135;"PPmP Psychotherapie Psychosomatik Medizinische Psychologie";journal;"14391058, 09372032";0,299;Q3;46;68;294;1025;162;201;0,56;15,07;Germany;Western Europe;"Georg Thieme Verlag";"1980-2023";"Applied Psychology (Q3); Clinical Psychology (Q3); Psychiatry and Mental Health (Q3)";"Medicine; Psychology"
186;21100834525;"Gruppe. Interaktion. Organisation. Zeitschrift fur Angewandte Organisationspsychologie";journal;"23666145, 23666218";0,298;Q3;16;51;153;2405;166;135;0,89;47,16;Germany;Western Europe;"Springer Fachmedien Wiesbaden GmbH";"2016-2023";"Applied Psychology (Q3); Developmental and Educational Psychology (Q3); Education (Q3); Organizational Behavior and Human Resource Management (Q3); Social Psychology (Q3)";"Business, Management and Accounting; Psychology; Social Sciences"
187;7200153135;"Forensische Psychiatrie, Psychologie, Kriminologie";journal;"18627072, 18627080";0,283;Q3;16;47;138;1711;83;106;0,52;36,40;Germany;Western Europe;"";"2007-2023";"Law (Q2); Applied Psychology (Q3); Psychiatry and Mental Health (Q3)";"Medicine; Psychology; Social Sciences"
188;29521;"Annales Medico-Psychologiques";journal;"00034487, 17696631";0,279;Q3;26;180;499;5737;282;475;0,56;31,87;France;Western Europe;"Elsevier Masson s.r.l.";"1946-1947, 1949-2023";"Arts and Humanities (miscellaneous) (Q2); Applied Psychology (Q3); Psychiatry and Mental Health (Q3)";"Arts and Humanities; Medicine; Psychology"
189;21100228948;"TPM - Testing, Psychometrics, Methodology in Applied Psychology";journal;"19726325";0,278;Q3;28;29;95;1421;71;92;0,62;49,00;Italy;Western Europe;"Cises srl";"2005, 2007-2023";"Applied Psychology (Q3); Psychology (miscellaneous) (Q3); Social Psychology (Q4)";"Psychology"
190;21100870922;"Journal of Behavioral Science";journal;"19064675";0,272;Q3;9;25;69;1733;108;69;1,28;69,32;Thailand;Asiatic Region;"Srinakharinwirot University-Behavioral Science Research Institute";"2018-2023";"Applied Psychology (Q3); Social Psychology (Q4)";"Psychology"
191;21100244625;"Revista Espanola de Orientacion y Psicopedagogia";journal;"11397853, 19897448";0,271;Q3;16;28;81;1172;76;73;0,85;41,86;Spain;Western Europe;"Asociacion Espanola de Orientacion y Psicopedagogia";"2010-2023";"Applied Psychology (Q3); Education (Q3)";"Psychology; Social Sciences"
192;19600157748;"Ansiedad y Estres";journal;"11347937";0,268;Q3;18;22;73;1100;69;73;0,57;50,00;Spain;Western Europe;"Spanish Society for the Study of Anxiety and Stress (SEAS)";"2009-2023";"Applied Psychology (Q3); Psychiatry and Mental Health (Q4); Social Psychology (Q4)";"Medicine; Psychology"
193;23703;"Journal of Feminist Family Therapy";journal;"15404099, 08952833";0,268;Q3;22;14;63;418;49;57;0,67;29,86;United States;Northern America;"Routledge";"1989-2023";"Gender Studies (Q2); Applied Psychology (Q3)";"Psychology; Social Sciences"
194;17900156714;"Journal of Investigative Psychology and Offender Profiling";journal;"15444759, 15444767";0,268;Q3;29;16;57;790;81;55;1,03;49,38;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2009-2023";"Applied Psychology (Q3); Social Psychology (Q4)";"Psychology"
195;21100197358;"Psyecology";journal;"19899386, 21711976";0,264;Q4;16;13;52;676;48;50;0,72;52,00;United Kingdom;Western Europe;"SAGE Publications Inc.";"2010-2023";"Environmental Science (miscellaneous) (Q3); Applied Psychology (Q4); Experimental and Cognitive Psychology (Q4)";"Environmental Science; Psychology"
196;21101032633;"Social Psychology and Society";journal;"22211527, 23117052";0,252;Q4;8;52;164;1728;120;161;0,72;33,23;Russian Federation;Eastern Europe;"Moscow State University of Psychology and Education";"2016-2023";"Social Sciences (miscellaneous) (Q3); Applied Psychology (Q4); Social Psychology (Q4)";"Psychology; Social Sciences"
197;21100793836;"Journal of Relationships Research";journal;"18380956";0,244;Q4;16;0;17;0;19;17;1,00;0,00;United Kingdom;Western Europe;"Cambridge University Press";"2010-2021";"Applied Psychology (Q4); Social Psychology (Q4)";"Psychology"
198;21100842866;"Primenjena Psihologija";journal;"23347287, 18210147";0,235;Q4;6;21;64;1185;39;64;0,56;56,43;Serbia;Eastern Europe;"Faculty of Philosophy, University of Novi Sad";"2017-2023";"Applied Psychology (Q4)";"Psychology"
199;21100942847;"European Journal of Pragmatism and American Philosophy";journal;"20364091";0,234;Q4;4;40;113;1333;36;106;0,34;33,33;Italy;Western Europe;"Associazone culturale Pragma";"2018-2023";"Philosophy (Q2); Sociology and Political Science (Q3); Applied Psychology (Q4)";"Arts and Humanities; Psychology; Social Sciences"
200;21100255350;"Journal of Forensic Practice";journal;"20508808, 20508794";0,232;Q4;22;35;82;1735;77;82;0,82;49,57;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2013-2023";"Law (Q2); Pathology and Forensic Medicine (Q3); Applied Psychology (Q4); Psychiatry and Mental Health (Q4)";"Medicine; Psychology; Social Sciences"
201;18123;"Occupational Therapy in Mental Health";journal;"0164212X, 15413101";0,230;Q4;25;44;64;2042;55;62;0,72;46,41;United Kingdom;Western Europe;"Routledge";"1980-1993, 1995-2023";"Applied Psychology (Q4); Psychiatry and Mental Health (Q4); Public Health, Environmental and Occupational Health (Q4)";"Medicine; Psychology"
202;21100935803;"Transactions on Transport Sciences";journal;"18029876";0,221;Q4;6;23;61;879;44;59;0,71;38,22;Czech Republic;Eastern Europe;"Palacky University in Olomouc";"2017-2023";"Automotive Engineering (Q3); Applied Psychology (Q4); Civil and Structural Engineering (Q4); Management, Monitoring, Policy and Law (Q4); Transportation (Q4)";"Engineering; Environmental Science; Psychology; Social Sciences"
203;21100229177;"Journal of Psychological and Educational Research";journal;"22471537";0,220;Q4;10;17;47;711;38;46;0,90;41,82;Romania;Eastern Europe;"Editura Universitati din Oradea";"2011-2023";"Education (Q3); Applied Psychology (Q4); Developmental and Educational Psychology (Q4)";"Psychology; Social Sciences"
204;21100838563;"Annals of Applied Sport Science";journal;"24764981, 23224479";0,218;Q4;10;60;154;1922;124;153;0,84;32,03;Iran;Middle East;"Asian Exercise and Sport Science Association";"2017-2023";"Orthopedics and Sports Medicine (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3); Social Sciences (miscellaneous) (Q3); Applied Psychology (Q4); Tourism, Leisure and Hospitality Management (Q4)";"Business, Management and Accounting; Health Professions; Medicine; Psychology; Social Sciences"
205;21101176726;"Creative Arts in Education and Therapy";journal;"24682306, 2451876X";0,217;Q4;3;17;39;339;13;34;0,33;19,94;Netherlands;Western Europe;"";"2021-2023";"Visual Arts and Performing Arts (Q1); Arts and Humanities (miscellaneous) (Q2); Applied Psychology (Q4); Psychology (miscellaneous) (Q4)";"Arts and Humanities; Psychology"
206;11600153828;"Psihologijske Teme";journal;"13320742";0,217;Q4;24;34;107;1985;70;103;0,53;58,38;Croatia;Eastern Europe;"Faculty of Arts and Sciences in Rijeka";"2009-2023";"Applied Psychology (Q4); Clinical Psychology (Q4); Social Psychology (Q4)";"Psychology"
207;5700169412;"Acta Comportamentalia";journal;"01888145";0,210;Q4;5;37;104;1494;26;104;0,23;40,38;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"2017-2023";"Linguistics and Language (Q2); Education (Q3); Applied Psychology (Q4); Developmental and Educational Psychology (Q4)";"Psychology; Social Sciences"
208;21101090010;"Psikohumaniora";journal;"25029363, 25277456";0,207;Q4;5;19;51;1161;45;51;0,97;61,11;Indonesia;Asiatic Region;"State Islamic University Walisongo Semarang Faculty of Psychology and Health";"2019-2023";"Applied Psychology (Q4); Clinical Psychology (Q4); Experimental and Cognitive Psychology (Q4)";"Psychology"
209;21100967053;"Versus";journal;"26120909, 03938255";0,207;Q4;3;27;66;842;13;66;0,09;31,19;Italy;Western Europe;"Societa Editrice Il Mulino";"2019-2023";"Linguistics and Language (Q2); Philosophy (Q2); Applied Psychology (Q4)";"Arts and Humanities; Psychology; Social Sciences"
210;21101152124;"Psychology and Law";journal;"22225196";0,206;Q4;2;69;66;1813;40;66;0,61;26,28;Russian Federation;Eastern Europe;"Moscow State University of Psychology and Education";"2022-2023";"Applied Psychology (Q4); Clinical Psychology (Q4); Experimental and Cognitive Psychology (Q4); Social Psychology (Q4)";"Psychology"
211;21100784273;"Journal of Intellectual Disability - Diagnosis and Treatment";journal;"22922598";0,205;Q4;10;21;199;728;107;197;0,46;34,67;Canada;Northern America;"Lifescience Global";"2013-2023";"Applied Psychology (Q4); Developmental and Educational Psychology (Q4); Health (social science) (Q4); Neurology (Q4); Neurology (clinical) (Q4); Psychiatry and Mental Health (Q4)";"Medicine; Neuroscience; Psychology; Social Sciences"
212;19900188288;"Subjectivity";journal;"17556341, 1755635X";0,204;Q4;16;28;48;1348;29;39;0,45;48,14;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2015-2023";"Applied Psychology (Q4); Social Psychology (Q4)";"Psychology"
213;5700167230;"Psychoanalysis, Culture and Society";journal;"10880763, 15433390";0,200;Q4;12;57;117;1475;54;111;0,49;25,88;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2004, 2014-2023";"Cultural Studies (Q2); Sociology and Political Science (Q3); Applied Psychology (Q4); Health (social science) (Q4); Social Psychology (Q4)";"Psychology; Social Sciences"
214;21100838187;"European Journal of Humour Research";journal;"2307700X";0,197;Q4;9;35;131;2008;101;131;0,66;57,37;Poland;Eastern Europe;"Cracow Tertium Society for the Promotion of Language Studies";"2017-2023";"Cultural Studies (Q2); Linguistics and Language (Q2); Communication (Q3); Applied Psychology (Q4)";"Psychology; Social Sciences"
215;21100827186;"Socialni Prace";journal;"1805885X, 12136204";0,193;Q4;8;53;170;1844;36;140;0,21;34,79;Czech Republic;Eastern Europe;"Association of Educators in Social Work";"2017-2022";"Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3); Applied Psychology (Q4); Health (social science) (Q4)";"Psychology; Social Sciences"
216;300147009;"Acta Neuropsychologica";journal;"17307503";0,191;Q4;14;31;98;1261;72;98;0,94;40,68;Poland;Eastern Europe;"Agencja Wydawnicza Medsportpress";"2005-2023";"Applied Psychology (Q4); Neuropsychology and Physiological Psychology (Q4)";"Psychology"
217;21101144405;"Psicogente";journal;"2027212X, 01240137";0,191;Q4;5;18;57;946;44;56;0,76;52,56;Venezuela;Latin America;"Universidad Simon Bolivar";"2019-2023";"Applied Psychology (Q4); Experimental and Cognitive Psychology (Q4)";"Psychology"
218;17700156017;"Revista de Psicologia del Deporte";journal;"1132239X";0,191;Q4;35;104;302;3418;247;300;0,75;32,87;Spain;Western Europe;"Sociedad Revista de Psicologia del Deporte";"2008-2023";"Applied Psychology (Q4); Sports Science (Q4)";"Health Professions; Psychology"
219;21100204113;"Revista Iberoamericana de Psicologia del Ejercicio y el Deporte";journal;"18868576";0,191;Q4;21;103;168;2288;72;167;0,47;22,21;Spain;Western Europe;"Asociacion Canaria de Psicologia del Deporte";"2012-2023";"Applied Psychology (Q4); Social Psychology (Q4); Sports Science (Q4)";"Health Professions; Psychology"
220;15233;"Australasian Journal of Disaster and Trauma Studies";journal;"11744707";0,190;Q4;22;0;39;0;33;39;0,70;0,00;New Zealand;Pacific Region;"Massey University";"1997, 2004-2008, 2010-2022";"Applied Psychology (Q4)";"Psychology"
221;21101052816;"Arteterapia";journal;"19888309, 18866190";0,189;Q4;3;27;130;666;15;72;0,05;24,67;Spain;Western Europe;"Universidad Complutense Madrid";"2019-2023";"Arts and Humanities (miscellaneous) (Q2); Applied Psychology (Q4); Clinical Psychology (Q4); Education (Q4); Rehabilitation (Q4)";"Arts and Humanities; Medicine; Psychology; Social Sciences"
222;15355;"Travail Humain";journal;"00411868";0,182;Q4;25;9;33;713;23;33;0,44;79,22;France;Western Europe;"Presses Universitaires de France";"1947-1949, 1972-1993, 1996-2023";"Industrial Relations (Q3); Applied Psychology (Q4); Human Factors and Ergonomics (Q4); Psychology (miscellaneous) (Q4)";"Business, Management and Accounting; Psychology; Social Sciences"
223;21100388418;"BPA Applied Psychology Bulletin";journal;"00066761";0,181;Q4;12;17;40;823;19;40;0,50;48,41;Italy;Western Europe;"Giunti Psychometrics";"2014-2023";"Applied Psychology (Q4)";"Psychology"
224;21101053110;"Turkish Psychological Counseling and Guidance Journal";journal;"13021370";0,181;Q4;5;35;101;2102;51;101;0,45;60,06;Turkey;Middle East;"Turkish Psychological Counseling and Guidance Association";"2019-2023";"Applied Psychology (Q4); Education (Q4); Psychology (miscellaneous) (Q4)";"Psychology; Social Sciences"
225;21100828655;"Journal of Financial Therapy";journal;"19449771, 19457774";0,180;Q4;10;11;43;337;31;42;0,50;30,64;United States;Northern America;"New Prairie Press";"2017-2023";"Applied Psychology (Q4); Finance (Q4); Health (social science) (Q4); Social Psychology (Q4)";"Economics, Econometrics and Finance; Psychology; Social Sciences"
226;21101040700;"Journal of Applied Rehabilitation Counseling";journal;"00472220, 26397641";0,175;Q4;3;13;61;674;29;60;0,33;51,85;United States;Northern America;"Springer Publishing Company";"2020-2023";"Chiropractics (Q3); Analysis (Q4); Applied Psychology (Q4); Occupational Therapy (Q4); Physical Therapy, Sports Therapy and Rehabilitation (Q4); Public Health, Environmental and Occupational Health (Q4); Rehabilitation (Q4)";"Health Professions; Mathematics; Medicine; Psychology"
227;18300156721;"Zeitschrift fur Sportpsychologie";journal;"21906300, 16125010";0,175;Q4;12;28;80;616;17;36;0,20;22,00;Germany;Western Europe;"Hogrefe Publishing";"2008-2023";"Applied Psychology (Q4); Physical Therapy, Sports Therapy and Rehabilitation (Q4); Social Psychology (Q4)";"Health Professions; Psychology"
228;21100896490;"ETS Research Report Series";journal;"23308516";0,173;Q4;23;11;75;802;56;75;0,70;72,91;United States;Northern America;"John Wiley &amp; Sons Inc.";"1996-2014, 2018-2023";"Applied Psychology (Q4); Education (Q4); Social Psychology (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Psychology; Social Sciences"
229;21101054407;"Cyprus Turkish Journal of Psychiatry and Psychology";journal;"13027840, 26678225";0,172;Q4;4;31;105;1219;37;98;0,38;39,32;Turkey;Middle East;"Cyprus Mental Health Institute";"2020-2023";"Applied Psychology (Q4); Clinical Psychology (Q4); Psychiatry and Mental Health (Q4)";"Medicine; Psychology"
230;21100981168;"International Journal of Body, Mind and Culture";journal;"23455802";0,170;Q4;5;59;108;1971;64;102;0,62;33,41;Iran;Middle East;"Vesnu Publications";"2019-2023";"Applied Psychology (Q4); Psychiatry and Mental Health (Q4)";"Medicine; Psychology"
231;21100860444;"Dog Behavior";journal;"24210684, 24215678";0,169;Q4;11;2;42;86;12;41;0,24;43,00;Italy;Western Europe;"Edizioni ETS";"2015-2022";"Small Animals (Q3); Animal Science and Zoology (Q4); Applied Psychology (Q4)";"Agricultural and Biological Sciences; Psychology; Veterinary"
232;21100932759;"Cogent Medicine";journal;"2331205X";0,163;Q4;1;0;1;0;1;1;1,00;0,00;United Kingdom;Western Europe;"Cogent OA";"2019-2021";"Applied Psychology (Q4); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4)";"Biochemistry, Genetics and Molecular Biology; Psychology"
233;23263;"Sprache Stimme Gehor";journal;"03420477, 14391260";0,158;Q4;12;78;211;539;20;109;0,07;6,91;Germany;Western Europe;"Georg Thieme Verlag";"1980-2023";"Applied Psychology (Q4); Psychiatry and Mental Health (Q4); Speech and Hearing (Q4)";"Health Professions; Medicine; Psychology"
234;21100942914;"Organizatsionnaya Psikhologiya";journal;"23125942";0,154;Q4;5;39;119;2231;52;118;0,43;57,21;Russian Federation;Eastern Europe;"National Research University Higher School of Economics";"2019-2023";"Applied Psychology (Q4); Organizational Behavior and Human Resource Management (Q4); Social Psychology (Q4)";"Business, Management and Accounting; Psychology"
235;21100244949;"Psicologia della Salute";journal;"17210321, 19725167";0,151;Q4;17;30;84;1075;28;78;0,25;35,83;Italy;Western Europe;"FrancoAngeli Edizioni";"2000-2023";"Applied Psychology (Q4); Health (social science) (Q4)";"Psychology; Social Sciences"
236;19700187812;"Psychologist-Manager Journal";journal;"15503461, 10887156";0,146;Q4;18;0;24;0;12;24;0,60;0,00;United States;Northern America;"American Psychological Association";"2010-2021";"Applied Psychology (Q4); Business, Management and Accounting (miscellaneous) (Q4); Social Psychology (Q4)";"Business, Management and Accounting; Psychology"
237;19700188207;"Revista Mexicana de Analisis de la Conducta";journal;"20070802, 01854534";0,146;Q4;12;0;64;0;12;60;0,12;0,00;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1975, 2010-2022";"Applied Psychology (Q4); Experimental and Cognitive Psychology (Q4)";"Psychology"
238;19500157813;"Suchttherapie";journal;"1439989X, 14399903";0,145;Q4;12;42;115;666;13;72;0,12;15,86;Germany;Western Europe;"Georg Thieme Verlag";"2000-2023";"Applied Psychology (Q4); Psychiatry and Mental Health (Q4)";"Medicine; Psychology"
239;21101034439;"Studia Sportiva";journal;"25708783, 18027679";0,141;Q4;3;16;70;574;25;70;0,32;35,88;Czech Republic;Eastern Europe;"Masaryk University Faculty of Sports Studies";"2019-2023";"Applied Psychology (Q4); Education (Q4); Health (social science) (Q4); Orthopedics and Sports Medicine (Q4); Physical Therapy, Sports Therapy and Rehabilitation (Q4); Tourism, Leisure and Hospitality Management (Q4)";"Business, Management and Accounting; Health Professions; Medicine; Psychology; Social Sciences"
240;21100902624;"Journal of Consumer Satisfaction, Dissatisfaction and Complaining Behavior";journal;"08998620";0,135;Q4;6;17;29;2524;39;23;1,34;148,47;United States;Northern America;"University of Nevada";"2018-2019, 2021-2023";"Applied Psychology (Q4); Business and International Management (Q4); Marketing (Q4); Social Psychology (Q4)";"Business, Management and Accounting; Psychology"
241;21100932468;"Counselling Psychology Review";journal;"17572142, 23968672";0,134;Q4;2;3;46;86;9;35;0,15;28,67;United Kingdom;Western Europe;"The British Psychological Society";"2019-2022";"Applied Psychology (Q4); Clinical Psychology (Q4); Psychiatry and Mental Health (Q4)";"Medicine; Psychology"
242;17900156712;"Jung Journal: Culture and Psyche";journal;"19342039, 19342047";0,134;Q4;7;51;135;340;11;92;0,08;6,67;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2007-2023";"Literature and Literary Theory (Q2); Visual Arts and Performing Arts (Q2); Cultural Studies (Q3); Applied Psychology (Q4)";"Arts and Humanities; Psychology; Social Sciences"
243;11600153426;"Advances in Consumer Research";journal;"00989258";0,133;Q4;29;0;1;0;0;1;0,00;0,00;United States;Northern America;"Sheridan Books";"1993-1994, 2006-2012, 2016-2017, 2021";"Applied Psychology (Q4); Economics and Econometrics (Q4); Marketing (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Psychology"
244;21100202508;"Revista Brasileira de Orientacao Profissional";journal;"16793390, 19847270";0,133;Q4;12;0;43;0;11;42;0,04;0,00;Brazil;Latin America;"Universidade de Sao Paulo, Faculdade de Filosofia";"2011-2021";"Applied Psychology (Q4); Education (Q4); Organizational Behavior and Human Resource Management (Q4)";"Business, Management and Accounting; Psychology; Social Sciences"
245;21101083977;"Rossijskij Psihiatriceskij Zurnal";journal;"1560957X";0,131;Q4;5;49;180;1764;41;179;0,26;36,00;Russian Federation;Eastern Europe;"V. Serbsky National Medical Research Centre for Psychiatry and Narcology";"2019-2023";"Applied Psychology (Q4); Public Health, Environmental and Occupational Health (Q4)";"Medicine; Psychology"
246;21100208021;"Infant Observation";journal;"17458943, 13698036";0,129;Q4;7;3;38;84;9;31;0,13;28,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2012-2023";"Applied Psychology (Q4); Clinical Psychology (Q4); Developmental and Educational Psychology (Q4); Social Psychology (Q4)";"Psychology"
247;21100200606;"International Journal of Transpersonal Studies";journal;"13210122, 19423241";0,129;Q4;14;9;49;620;11;36;0,33;68,89;United States;Northern America;"International Transpersonal Association";"2011-2023";"Philosophy (Q3); Religious Studies (Q3); Applied Psychology (Q4)";"Arts and Humanities; Psychology"
248;12700154701;"Journal for Geometry and Graphics";journal;"14338157";0,128;Q4;20;9;57;92;18;57;0,27;10,22;Germany;Western Europe;"Heldermann Verlag";"1997-2023";"Applied Mathematics (Q4); Applied Psychology (Q4); Geometry and Topology (Q4)";"Mathematics; Psychology"
249;21100792099;"International Sports Studies";journal;"14430770";0,126;Q4;5;6;42;176;12;35;0,26;29,33;Germany;Western Europe;"Logos Verlag Berlin GmbH";"2016-2022";"Applied Psychology (Q4); Education (Q4)";"Psychology; Social Sciences"
250;7200153128;"Zeitschrift fur Evaluation";journal;"16195515";0,124;Q4;7;21;76;569;16;48;0,24;27,10;Germany;Western Europe;"Waxmann Verlag GmbH";"2006-2013, 2015-2023";"Applied Psychology (Q4); Communication (Q4); Education (Q4); Social Sciences (miscellaneous) (Q4); Statistics and Probability (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Mathematics; Psychology; Social Sciences"
251;21101146415;"Jurnal Pengukuran Psikologi dan Pendidikan Indonesia";journal;"20896247, 26545713";0,123;Q4;3;13;46;502;16;46;0,29;38,62;Indonesia;Asiatic Region;"Syarif Hidayatullah State Islamic University (UIN) Jakarta";"2019-2023";"Applied Psychology (Q4); Developmental and Educational Psychology (Q4); Education (Q4); Psychology (miscellaneous) (Q4)";"Psychology; Social Sciences"
252;21100945163;"Romanian Journal of Applied Psychology";journal;"2392845X, 23928441";0,116;Q4;3;4;15;208;2;15;0,09;52,00;Italy;Western Europe;"Euroregional Centre for Applied Psychology";"2019-2022";"Applied Psychology (Q4)";"Psychology"
253;19700201401;"International Journal of Jungian Studies";journal;"19409060, 19409052";0,113;Q4;7;5;39;254;18;38;0,28;50,80;United Kingdom;Western Europe;"Brill Academic Publishers";"2010-2023";"Applied Psychology (Q4)";"Psychology"
254;145561;"Groupwork";journal;"0951824X";0,110;Q4;11;18;13;559;4;11;0,31;31,06;United Kingdom;Western Europe;"Whiting and Birch";"2005-2014, 2017-2018, 2022-2023";"Applied Psychology (Q4); Public Health, Environmental and Occupational Health (Q4)";"Medicine; Psychology"
255;21100844825;"European Judaism";journal;"00143006, 17522323";0,105;Q4;2;22;77;642;3;72;0,04;29,18;United States;Northern America;"Berghahn Journals";"2017-2023";"History (Q3); Applied Psychology (Q4); Cultural Studies (Q4); Philosophy (Q4); Religious Studies (Q4)";"Arts and Humanities; Psychology; Social Sciences"
256;21100820884;"Existenzanalyse";journal;"10247033, 24097306";0,102;Q4;3;0;17;0;0;16;0,00;0,00;Austria;Western Europe;"Gesellschaft fur Logotherapie und Existenzanalyse - International (GLE-Int.)";"2016-2019";"Applied Psychology (Q4); Clinical Psychology (Q4); Psychiatry and Mental Health (Q4); Social Psychology (Q4)";"Medicine; Psychology"
257;29469;"American Journal of Forensic Psychology";journal;"07331290";0,101;Q4;20;0;29;0;0;21;0,00;0,00;United States;Northern America;"American College of Forensic Psychology";"1991, 1996-2021";"Applied Psychology (Q4); Pathology and Forensic Medicine (Q4)";"Medicine; Psychology"
258;21100877342;"Problemi";journal;"05552419";0,100;Q4;4;22;120;476;11;93;0,03;21,64;Slovenia;Eastern Europe;"Society for Theoretical Psychoanalysis";"2017-2023";"Applied Psychology (Q4); Linguistics and Language (Q4); Literature and Literary Theory (Q4); Philosophy (Q4)";"Arts and Humanities; Psychology; Social Sciences"
